"Carimbo de data/hora","Pontuação total","Quantas vezes por semana você pratica algum exercício?","Quantas vezes por semana você pratica algum exercício? [Pontuação]","Quantas vezes por semana você pratica algum exercício? [Feedback]","Há quanto tempo você mantém uma rotina de exercícios?  ","Há quanto tempo você mantém uma rotina de exercícios?   [Pontuação]","Há quanto tempo você mantém uma rotina de exercícios?   [Feedback]","Qual o principal tipo de treino que você pratica?  ","Qual o principal tipo de treino que você pratica?   [Pontuação]","Qual o principal tipo de treino que você pratica?   [Feedback]","Qual é a sua principal motivação para treinar?  ","Qual é a sua principal motivação para treinar?   [Pontuação]","Qual é a sua principal motivação para treinar?   [Feedback]","De 0 a 10, qual o seu nível de satisfação pessoal com seu corpo atualmente?  ","De 0 a 10, qual o seu nível de satisfação pessoal com seu corpo atualmente?   [Pontuação]","De 0 a 10, qual o seu nível de satisfação pessoal com seu corpo atualmente?   [Feedback]","O quanto a prática de exercícios físicos influencia no seu humor diário?  ","O quanto a prática de exercícios físicos influencia no seu humor diário?   [Pontuação]","O quanto a prática de exercícios físicos influencia no seu humor diário?   [Feedback]","Que mudanças você percebeu em você após iniciar a prática regular de exercícios?  ","Que mudanças você percebeu em você após iniciar a prática regular de exercícios?   [Pontuação]","Que mudanças você percebeu em você após iniciar a prática regular de exercícios?   [Feedback]"
"2025/04/28 10:19:38 PM GMT-3","0.00 / 0","0","-- / 0","","Mais de 1 ano","-- / 0","","","","","","","","0","-- / 0","","","","","","-- / 0",""
"2025/04/28 10:20:46 PM GMT-3","0.00 / 0","3-4","-- / 0","","3-6 meses","-- / 0","","Musculação;Corrida","-- / 0","","Bem estar mental;Estética","-- / 0","","8","-- / 0","","Moderadamente","-- / 0","","Maior satisfação com meu corpo,  e bem estar","-- / 0",""
"2025/04/28 10:27:42 PM GMT-3","0.00 / 0","3-4","-- / 0","","Mais de 1 ano","-- / 0","","Musculação;Esportes Coletivos","-- / 0","","Saúde;Estética","-- / 0","","5","-- / 0","","Moderadamente","-- / 0","","Melhor humor, melhora na postura e autoestima
","-- / 0",""
"2025/04/28 10:28:11 PM GMT-3","0.00 / 0","3-4","-- / 0","","Mais de 1 ano","-- / 0","","Musculação;Corrida","-- / 0","","Bem estar mental;Estética;Recomendação médica","-- / 0","","6","-- / 0","","Muito","-- / 0","","Mais disposição, menos ansiedade","-- / 0",""
"2025/04/28 10:35:33 PM GMT-3","0.00 / 0","1-2","-- / 0","","Menos de três meses","-- / 0","","Corrida","-- / 0","","Saúde;Bem estar mental","-- / 0","","4","-- / 0","","Muito","-- / 0","","Diminuição do estresse e da ansiedade, mais disposição em tarefas simples e melhor raciocínio","-- / 0",""
"2025/04/28 10:37:00 PM GMT-3","0.00 / 0","3-4","-- / 0","","Mais de 1 ano","-- / 0","","Musculação","-- / 0","","Estética","-- / 0","","4","-- / 0","","Muito","-- / 0","","Maior disposição, maior produtividade, equilibro mental e maior autoestima quando consigo manter uma constância nos treinos, satisfação em vários âmbitos no geral","-- / 0",""
"2025/04/28 10:37:17 PM GMT-3","0.00 / 0","5 ou mais","-- / 0","","Menos de três meses","-- / 0","","Musculação","-- / 0","","Saúde;Bem estar mental;Estética","-- / 0","","6","-- / 0","","Muito","-- / 0","","Mais disposição diária geral e melhor bem estar mental.","-- / 0",""
"2025/04/28 10:37:44 PM GMT-3","0.00 / 0","5 ou mais","-- / 0","","Mais de 1 ano","-- / 0","","Musculação","-- / 0","","Saúde;Bem estar mental;Estética","-- / 0","","8","-- / 0","","Moderadamente","-- / 0","","Mais foco","-- / 0",""
"2025/04/28 10:37:56 PM GMT-3","0.00 / 0","1-2","-- / 0","","","","","Caminhada","-- / 0","","Saúde;Bem estar mental;Recomendação médica","-- / 0","","4","-- / 0","","Muito","-- / 0","","","-- / 0",""
"2025/04/28 10:41:50 PM GMT-3","0.00 / 0","5 ou mais","-- / 0","","Menos de três meses","-- / 0","","Musculação","-- / 0","","Saúde;Estética;Recomendação médica","-- / 0","","3","-- / 0","","Moderadamente","-- / 0","","Perda de medidas.. disciplina, foco.. ","-- / 0",""
"2025/04/28 10:42:07 PM GMT-3","0.00 / 0","5 ou mais","-- / 0","","Mais de 1 ano","-- / 0","","Musculação;Treinamento Funcional","-- / 0","","Bem estar mental;Estética","-- / 0","","7","-- / 0","","Moderadamente","-- / 0","","","-- / 0",""
"2025/04/28 10:42:42 PM GMT-3","0.00 / 0","3-4","-- / 0","","Menos de três meses","-- / 0","","Musculação","-- / 0","","Saúde","-- / 0","","2","-- / 0","","Moderadamente","-- / 0","","Menos dores","-- / 0",""
"2025/04/28 10:46:16 PM GMT-3","0.00 / 0","1-2","-- / 0","","Menos de três meses","-- / 0","","Corrida","-- / 0","","Bem estar mental;Estética","-- / 0","","4","-- / 0","","Moderadamente","-- / 0","","Melhora do sono e maior disposição no dia a dia","-- / 0",""
"2025/04/28 10:51:24 PM GMT-3","0.00 / 0","3-4","-- / 0","","3-6 meses","-- / 0","","Musculação;Corrida;Natação","-- / 0","","Saúde;Bem estar mental;Estética;Socialização","-- / 0","","5","-- / 0","","Muito","-- / 0","","Flexibilidade, disposição, bem estar físico y mental. Socialização","-- / 0",""
"2025/04/28 10:57:36 PM GMT-3","0.00 / 0","3-4","-- / 0","","Mais de 1 ano","-- / 0","","Musculação","-- / 0","","Bem estar mental;Estética","-- / 0","","4","-- / 0","","Muito","-- / 0","","","-- / 0",""
"2025/04/28 10:57:51 PM GMT-3","0.00 / 0","3-4","-- / 0","","Mais de 1 ano","-- / 0","","Musculação;Corrida","-- / 0","","Saúde","-- / 0","","8","-- / 0","","Pouco","-- / 0","","","-- / 0",""
"2025/04/28 10:59:00 PM GMT-3","0.00 / 0","3-4","-- / 0","","Mais de 1 ano","-- / 0","","Musculação","-- / 0","","Saúde;Estética;Recomendação médica","-- / 0","","8","-- / 0","","Muito","-- / 0","","Menos ansiedade, melhora no sono","-- / 0",""
"2025/04/28 11:01:54 PM GMT-3","0.00 / 0","3-4","-- / 0","","3-6 meses","-- / 0","","Musculação","-- / 0","","Bem estar mental;Estética","-- / 0","","8","-- / 0","","Muito","-- / 0","","Mais animada e disposta para fazer os deveres do dia a dia","-- / 0",""
"2025/04/28 11:15:01 PM GMT-3","0.00 / 0","5 ou mais","-- / 0","","3-6 meses","-- / 0","","Musculação","-- / 0","","Estética","-- / 0","","7","-- / 0","","Muito","-- / 0","","","-- / 0",""
"2025/04/28 11:19:04 PM GMT-3","0.00 / 0","5 ou mais","-- / 0","","Mais de 1 ano","-- / 0","","Musculação","-- / 0","","Saúde;Bem estar mental;Estética;Socialização","-- / 0","","8","-- / 0","","Muito","-- / 0","","Maior autoestima, melhor disposição para o dia a dia, mais felicidade no geral","-- / 0",""
"2025/04/28 11:40:39 PM GMT-3","0.00 / 0","3-4","-- / 0","","Menos de três meses","-- / 0","","Musculação","-- / 0","","Bem estar mental","-- / 0","","6","-- / 0","","Muito","-- / 0","","A atividade regular me acalma e me deixa feliz ","-- / 0",""
